date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:42	72958/72958	U--M-Z	200	updated ('OK')	text/html	etag:%2211cfe-623efa90fab5b-gzip%22	https://proficient-bimsolutions.com/preview/index.html	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/index.html	(from )
15:54:42	204/204	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Oct%202024%2010:24:44%20GMT	https://proficient-bimsolutions.com/robots.txt		(from )
15:54:43	509/509	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Oct%202024%2010:24:44%20GMT	https://proficient-bimsolutions.com/preview/images/favicon.png	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/images/favicon.png	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:43	160940/160940	U-----	200	untouched ('OK')	text/css	etag:%22274ac-5b122274e4a80%22	https://proficient-bimsolutions.com/preview/css/bootstrap.min.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/bootstrap.min.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:43	503/503	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Oct%202024%2010:24:44%20GMT	https://proficient-bimsolutions.com/preview/index-4.html	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/index-4.html	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:43	57130/57130	U-----	200	untouched ('OK')	text/css	etag:%22df2a-5a1a4b13fa500%22	https://proficient-bimsolutions.com/preview/css/font-awesome.min.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/font-awesome.min.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:43	494/494	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Oct%202024%2010:24:45%20GMT	https://proficient-bimsolutions.com/preview/abo	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/abo	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:43	3669/3669	U-----	200	untouched ('OK')	text/css	etag:%22e55-5a6b05d389f00%22	https://proficient-bimsolutions.com/preview/css/flaticon.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/flaticon.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:43	513/513	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Oct%202024%2010:24:45%20GMT	https://proficient-bimsolutions.com/preview/portfolio-masonry.html	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/portfolio-masonry.html	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:44	2930/2930	U-----	200	untouched ('OK')	text/css	etag:%22b72-598648a0fdc00%22	https://proficient-bimsolutions.com/preview/css/owl.carousel.min.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/owl.carousel.min.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:44	513/513	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Oct%202024%2010:24:45%20GMT	https://proficient-bimsolutions.com/preview/servcies-detail-1.html	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/servcies-detail-1.html	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:44	935/935	U-----	200	untouched ('OK')	text/css	etag:%223a7-5a5ed8793dd00%22	https://proficient-bimsolutions.com/preview/css/owl.theme.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/owl.theme.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:44	513/513	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Oct%202024%2010:24:45%20GMT	https://proficient-bimsolutions.com/preview/portfolio-standar.html	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/portfolio-standar.html	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:44	6367/6367	U-----	200	untouched ('OK')	text/css	etag:%2218df-588577bcb3300%22	https://proficient-bimsolutions.com/preview/css/magnific-popup.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/magnific-popup.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:44	500/500	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Oct%202024%2010:24:46%20GMT	https://proficient-bimsolutions.com/preview/blog.html	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/blog.html	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:44	24828/24828	U-----	200	untouched ('OK')	text/css	etag:%2260fc-5a5e6d27cab00%22	https://proficient-bimsolutions.com/preview/css/lightgallery.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/lightgallery.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:44	500/500	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Oct%202024%2010:24:46%20GMT	https://proficient-bimsolutions.com/preview/post.html	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/post.html	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:47	7939/7939	U-----	200	untouched ('OK')	text/css	etag:%221f03-5b252ee24ba00%22	https://proficient-bimsolutions.com/preview/css/royal-preload.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/royal-preload.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:47	24783/24783	U-----	200	untouched ('OK')	text/css	etag:%2260cf-5b74450fd7400%22	https://proficient-bimsolutions.com/preview/css/woocommerce.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/css/woocommerce.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:47	30072/30072	U-----	200	untouched ('OK')	text/css	etag:%227578-59864a3741a80%22	https://proficient-bimsolutions.com/preview/plugins/revolution/revolution/css/settings.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/plugins/revolution/revolution/css/settings.css	(from https://proficient-bimsolutions.com/preview/index.html)
15:54:47	231154/231154	U-----	200	untouched ('OK')	text/css	etag:%22386f2-623efaad91df0%22	https://proficient-bimsolutions.com/preview/style.css	C:/Users/hp/OneDrive/Desktop/proficient/proficient-bimsolutions.com/preview/style.css	(from https://proficient-bimsolutions.com/preview/index.html)
